uuid,Employee Name,Department,Visit_Date,Entry_time,Exit_time,Purpose of Visit,Day of Week
66687e88fc13ae4e6e2344ea,Merrill Itscowics,Sales,2024-01-04,9:19,17:17,Work,Thursday
66687e88fc13ae4e6e2344eb,Desdemona Landall,Business Development,2024-10-06,8:44,15:57,Meeting,Sunday
66687e88fc13ae4e6e2344ec,Avram Duham,Product Management,2024-09-05,8:22,16:03,Client Visit,Thursday
66687e88fc13ae4e6e2344ed,Avigdor Bogays,Training,2024-12-02,8:31,14:44,Work,Monday
66687e88fc13ae4e6e2344ee,Heindrick Jaxon,Human Resources,2024-12-06,7:08,15:50,Work,Friday
66687e88fc13ae4e6e2344ef,Rhoda Tottie,Legal,2024-12-03,9:57,15:30,Meeting,Tuesday
66687e88fc13ae4e6e2344f0,Burch Sexcey,Product Management,2024-06-07,8:38,17:04,Training,Friday
66687e88fc13ae4e6e2344f1,Gregoire Bachelor,Research and Development,2024-09-03,7:31,14:48,Meeting,Tuesday
66687e88fc13ae4e6e2344f2,Aguie Robbins,Services,2024-07-04,7:13,16:21,Work,Thursday
66687e88fc13ae4e6e2344f3,Alfred Wressell,Sales,2024-04-03,7:42,15:34,Client Visit,Wednesday
66687e88fc13ae4e6e2344f4,Marcile Easom,Research and Development,2024-09-05,9:44,14:57,Client Visit,Thursday
66687e88fc13ae4e6e2344f5,Otes Angless,Support,2024-10-07,6:02,17:24,Meeting,Monday
66687e88fc13ae4e6e2344f6,Haily Flavelle,Human Resources,2024-11-07,6:51,17:36,Meeting,Thursday
66687e88fc13ae4e6e2344f7,Sauveur Rudeforth,Legal,2024-08-03,6:30,15:44,Work,Saturday
66687e88fc13ae4e6e2344f8,Royall Dillon,Legal,2024-11-06,6:37,17:29,Meeting,Wednesday
66687e88fc13ae4e6e2344f9,Lamont Tavner,Support,2024-12-02,8:58,15:30,Meeting,Monday
66687e88fc13ae4e6e2344fa,Killian Welden,Marketing,2024-01-01,8:28,14:31,Work,Monday
66687e88fc13ae4e6e2344fb,Cass Boom,Research and Development,2024-01-04,8:50,16:08,Meeting,Thursday
66687e88fc13ae4e6e2344fc,Cointon Cottill,Services,2024-01-02,9:38,17:56,Training,Tuesday
66687e88fc13ae4e6e2344fd,Hilton Shimwell,Human Resources,2024-11-02,7:36,15:05,Work,Saturday
66687e88fc13ae4e6e2344fe,Belle Penhalewick,Human Resources,2024-03-06,7:58,14:41,Meeting,Wednesday
66687e88fc13ae4e6e2344ff,Klaus Scates,Services,2024-07-03,9:16,15:14,Work,Wednesday
66687e88fc13ae4e6e234500,Ethyl Trevna,Legal,2024-01-04,8:06,16:55,Training,Thursday
66687e88fc13ae4e6e234501,Sly Reaney,Product Management,2024-11-07,6:20,17:16,Meeting,Thursday
66687e88fc13ae4e6e234502,Deidre Oldnall,Business Development,2024-09-05,8:45,14:06,Work,Thursday
66687e88fc13ae4e6e234503,Roger Cutchee,Sales,2024-10-05,9:10,17:37,Work,Saturday
66687e88fc13ae4e6e234504,Donia McClinton,Research and Development,2024-10-07,6:26,16:53,Client Visit,Monday
66687e88fc13ae4e6e234505,Ernst Cossar,Product Management,2024-11-07,8:22,16:07,Work,Thursday
66687e88fc13ae4e6e234506,Jamie Fawdrie,Human Resources,2024-11-07,6:43,16:45,Client Visit,Thursday
66687e88fc13ae4e6e234507,Olympie Waller,Training,2024-12-05,7:54,15:53,Training,Thursday
66687e88fc13ae4e6e234508,Gianna MacAlister,Business Development,2024-03-01,6:06,17:10,Work,Friday
66687e88fc13ae4e6e234509,Mikael Glide,Marketing,2024-11-07,6:56,15:27,Work,Thursday
66687e88fc13ae4e6e23450a,Petunia Skamal,Training,2024-02-05,8:27,17:56,Meeting,Monday
66687e88fc13ae4e6e23450b,Dacie Candie,Business Development,2024-10-05,7:20,14:02,Training,Saturday
66687e88fc13ae4e6e23450c,Minda Lemmens,Services,2024-10-04,7:31,16:03,Work,Friday
66687e88fc13ae4e6e23450d,Bernardo Noweak,Services,2024-05-03,8:42,16:11,Work,Friday
66687e88fc13ae4e6e23450e,Valene Jacobowitz,Product Management,2024-03-07,8:08,16:04,Client Visit,Thursday
66687e88fc13ae4e6e23450f,Shaun Carefull,Engineering,2024-04-07,9:07,15:49,Work,Sunday
66687e88fc13ae4e6e234510,Raddy Oganesian,Product Management,2024-04-03,9:36,17:35,Work,Wednesday
66687e88fc13ae4e6e234511,Melvyn Holywell,Accounting,2024-01-07,9:44,14:06,Work,Sunday
66687e88fc13ae4e6e234512,Eugenie Tapscott,Human Resources,2024-05-06,9:15,16:33,Work,Monday
66687e88fc13ae4e6e234513,Leanna Test,Support,2024-05-01,7:38,14:57,Work,Wednesday
66687e88fc13ae4e6e234514,Raphael O'Nolan,Training,2024-06-06,7:39,15:27,Work,Thursday
66687e88fc13ae4e6e234515,Gizela McClinton,Marketing,2024-03-07,6:57,17:22,Training,Thursday
66687e88fc13ae4e6e234516,Gwendolin Corradeschi,Legal,2024-03-06,9:26,17:52,Training,Wednesday
66687e88fc13ae4e6e234517,Taddeo Lever,Services,2024-04-01,7:03,17:22,Training,Monday
66687e88fc13ae4e6e234518,Kass Mulbry,Support,2024-01-06,9:45,16:03,Meeting,Saturday
66687e88fc13ae4e6e234519,Conny Trimmill,Engineering,2024-01-02,7:57,14:56,Client Visit,Tuesday
66687e88fc13ae4e6e23451a,Dana Hacquoil,Human Resources,2024-02-03,9:26,17:26,Training,Saturday
66687e88fc13ae4e6e23451b,Katha Charer,Services,2024-10-01,8:57,15:25,Meeting,Tuesday
66687e88fc13ae4e6e23451c,Danyette Videler,Sales,2024-07-06,7:46,14:17,Meeting,Saturday
66687e88fc13ae4e6e23451d,Linn Rickersey,Training,2024-03-07,8:31,15:40,Training,Thursday
66687e88fc13ae4e6e23451e,Shalna Godilington,Support,2024-11-05,8:14,16:16,Training,Tuesday
66687e88fc13ae4e6e23451f,Thebault Giovanni,Marketing,2024-08-01,6:27,16:39,Training,Thursday
66687e88fc13ae4e6e234520,Lorens Quye,Research and Development,2024-09-03,6:07,16:47,Meeting,Tuesday
66687e88fc13ae4e6e234521,Rosalia Sabathe,Human Resources,2024-11-04,6:23,15:18,Work,Monday
66687e88fc13ae4e6e234522,Jonis Dominichetti,Marketing,2024-01-03,7:19,16:10,Work,Wednesday
66687e88fc13ae4e6e234523,Gasper Lemmers,Business Development,2024-06-05,6:33,17:35,Meeting,Wednesday
66687e88fc13ae4e6e234524,Car Gaishson,Support,2024-04-01,7:43,15:40,Training,Monday
66687e88fc13ae4e6e234525,Roderigo Casali,Accounting,2024-10-01,6:55,17:06,Meeting,Tuesday
66687e88fc13ae4e6e234526,Hilly Edgar,Human Resources,2024-09-03,6:10,16:58,Training,Tuesday
66687e88fc13ae4e6e234527,Debbie Iacobucci,Engineering,2024-05-07,8:53,17:07,Meeting,Tuesday
66687e88fc13ae4e6e234528,Caterina Dami,Marketing,2024-12-04,9:48,15:37,Training,Wednesday
66687e88fc13ae4e6e234529,Cad Plaunch,Research and Development,2024-09-04,9:03,14:16,Work,Wednesday
66687e88fc13ae4e6e23452a,Etan Ceillier,Marketing,2024-10-04,7:44,17:25,Work,Friday
66687e88fc13ae4e6e23452b,Starr Franzonello,Product Management,2024-07-04,8:13,14:03,Meeting,Thursday
66687e88fc13ae4e6e23452c,Elicia Pinwell,Research and Development,2024-12-06,7:26,14:04,Meeting,Friday
66687e88fc13ae4e6e23452d,Bendix Mattielli,Human Resources,2024-05-04,8:47,14:41,Work,Saturday
66687e88fc13ae4e6e23452e,Jehu Mastrantone,Business Development,2024-02-06,7:26,17:10,Work,Tuesday
66687e88fc13ae4e6e23452f,Shir Orsi,Research and Development,2024-06-07,6:38,16:54,Meeting,Friday
66687e88fc13ae4e6e234530,Clerkclaude Pfleger,Human Resources,2024-01-07,7:58,16:16,Work,Sunday
66687e88fc13ae4e6e234531,Luelle George,Engineering,2024-10-01,9:50,16:13,Work,Tuesday
66687e88fc13ae4e6e234532,Mortie Rosewell,Research and Development,2024-08-02,8:26,17:05,Work,Friday
66687e88fc13ae4e6e234533,Alick Sheppard,Legal,2024-05-05,6:52,15:32,Training,Sunday
66687e88fc13ae4e6e234534,Eydie Gerant,Accounting,2024-12-06,7:00,14:10,Client Visit,Friday
66687e88fc13ae4e6e234535,Evered Hanaby,Human Resources,2024-03-07,7:19,15:28,Work,Thursday
66687e88fc13ae4e6e234536,Tristan Tickel,Research and Development,2024-10-03,7:25,16:46,Work,Thursday
66687e88fc13ae4e6e234537,Loralie Cormode,Research and Development,2024-05-05,6:10,16:05,Work,Sunday
66687e88fc13ae4e6e234538,Perla Andrzejowski,Business Development,2024-06-06,8:00,17:56,Client Visit,Thursday
66687e88fc13ae4e6e234539,Winfield Weiner,Training,2024-10-02,7:23,16:38,Meeting,Wednesday
66687e88fc13ae4e6e23453a,Nertie Biggs,Product Management,2024-02-06,8:06,16:21,Meeting,Tuesday
66687e88fc13ae4e6e23453b,Geri Woolacott,Research and Development,2024-10-02,7:28,16:59,Work,Wednesday
66687e88fc13ae4e6e23453c,Darlleen Reape,Support,2024-06-06,9:48,15:52,Training,Thursday
66687e88fc13ae4e6e23453d,Gussi Clutton,Sales,2024-11-06,6:34,16:57,Work,Wednesday
66687e88fc13ae4e6e23453e,Salaidh Barnes,Business Development,2024-09-04,8:58,16:59,Work,Wednesday
66687e88fc13ae4e6e23453f,Barbara-anne Ladloe,Legal,2024-08-02,9:59,16:24,Training,Friday
66687e88fc13ae4e6e234540,Araldo Blain,Support,2024-07-06,8:21,17:04,Training,Saturday
66687e88fc13ae4e6e234541,Tabina Foulkes,Research and Development,2024-12-07,9:22,14:47,Training,Saturday
66687e88fc13ae4e6e234542,Blondie Crippell,Product Management,2024-11-03,6:32,15:20,Meeting,Sunday
66687e88fc13ae4e6e234543,Elias Jelfs,Product Management,2024-06-06,7:45,17:34,Training,Thursday
66687e88fc13ae4e6e234544,Libby Baldinotti,Product Management,2024-01-01,8:20,16:31,Meeting,Monday
66687e88fc13ae4e6e234545,Kiri Scarfe,Support,2024-11-07,8:17,17:24,Meeting,Thursday
66687e88fc13ae4e6e234546,Fanechka Kubasek,Business Development,2024-02-04,8:43,15:31,Work,Sunday
66687e88fc13ae4e6e234547,Malynda Gude,Marketing,2024-05-07,6:36,16:33,Meeting,Tuesday
66687e88fc13ae4e6e234548,Wait Jeafferson,Support,2024-05-02,8:27,17:59,Meeting,Thursday
66687e88fc13ae4e6e234549,Axel Farnworth,Human Resources,2024-04-05,6:31,14:26,Work,Friday
